DA,DB,DC,k,cC
0.0002066062,0.0001833598,0.0001963749,0.0181622609,3.99419083264E-05
0.0002069974,0.0001887545,0.0002029931,0.0206834847,4.9047376732E-05
0.0002018036,0.0001997066,0.0001900545,0.0207079742,5.3088495096E-05
0.0002123181,0.0001914337,0.0001997776,0.0180683597,4.74569431852E-05
0.0002193352,0.000216074,0.0001991738,0.0199084049,7.5813852332E-05
0.0001930268,0.0001930789,0.0002182179,0.0188407498,0.000039626
0.0002012076,0.0001989987,0.0001879413,0.0207364277,5.229453936E-05
0.0002014142,0.0001853067,0.0001960583,0.0212600048,0.000044787
0.0001916389,0.0001973644,0.0001976556,0.0208536422,4.56123814208E-05
0.0002227625,0.0002028766,0.0002091659,0.0201995738,6.8705537824E-05
0.0001938315,0.0001933204,0.0001971659,0.0196556781,4.18947567024E-05
0.0001899852,0.0001794857,0.0001826321,0.0195376421,0.000032447
0.0001828899,0.0001899247,0.0001822214,0.0197620365,3.46388199932E-05
0.0001890742,0.0001911244,0.0002171929,0.0209374393,4.06088153212E-05
0.0002007589,0.0001942519,0.0002098145,0.0195275779,4.60646163E-05
0.0001886976,0.0002059236,0.0002122009,0.0201618975,4.76489365184E-05
0.0002010512,0.0001913725,0.0002036225,0.0204459727,4.6565075776E-05
0.0001936562,0.0001995872,0.0002164705,0.0198658702,4.59682738976E-05
0.0002088033,0.0001957246,0.0001895488,0.0214994734,0.000057012
0.0002054291,0.0001877308,0.000179736,0.0196980545,4.52050904792E-05
0.0001935566,0.0001977213,0.0002091232,0.0204378432,4.6052161728E-05
0.0002000869,0.0002105923,0.0002046517,0.0218323459,6.282429214E-05
0.0001931478,0.0002014763,0.0002217064,0.0221255424,5.20842033856E-05
0.0002042664,0.0002143558,0.0002050493,0.019402827,6.1427770524E-05
0.0002111944,0.0001659657,0.0002109839,0.0192251469,3.52513411104E-05
0.0001949826,0.0001903111,0.0001884739,0.0205174202,4.2575075936E-05
0.0002169871,0.0002030609,0.0001961771,0.0204036555,6.5190662464E-05
0.0001884528,0.000209024,0.0002029057,0.0188882679,4.6387380206E-05
0.0001968576,0.0002000588,0.0001981433,0.0197792368,4.79488782588E-05
0.0001965534,0.0002084439,0.0002010412,0.0196141685,5.27686475872E-05
0.0002087703,0.0001967267,0.0002023414,0.0186812521,5.024639184E-05
0.0002028719,0.0002116264,0.0002018091,0.0186938308,0.000056394
0.0001991109,0.0002117669,0.000209626,0.0213156005,6.1543610092E-05
0.0001926226,0.0001985677,0.0001851537,0.0222307814,5.000616389E-05
0.0001923485,0.0001890012,0.0001934473,0.0200370903,3.94349091036E-05
0.0002034924,0.0002095098,0.0002116035,0.0183925851,5.447676932E-05
0.00021544,0.000197815,0.000210235,0.0203816782,6.0061770452E-05
0.0001874344,0.0002062778,0.000184285,0.0215480086,5.0310631504E-05
0.000202491,0.0002063795,0.00019799,0.0200141592,5.6309474888E-05
0.0002186603,0.0002078713,0.0001941965,0.019437814,6.698535718E-05
0.0002046643,0.0001971052,0.0002059015,0.019722798,5.067764264E-05
0.0001972769,0.000192598,0.0002250428,0.0202082611,4.4584874288E-05
0.000181121,0.0002049156,0.0002144857,0.021298898,4.502386205E-05
0.000196389,0.0002058079,0.0001995274,0.0201006853,5.217626308E-05
